ID Cliente,Cliente,Idade,Telefone,Estado,DataCompra,Produto,Preço,Unidades,ValorCompra
530,Maria Isis das Neves,19,(71) 81419026,Bahia,2024-12-17,Console clássico,999.9,3,2999.7
531,Lorenzo Ramos,23,(38) 54983009,Minas Gerais,2024-12-06,Quadrinho,34.9,7,244.3
532,Maria Laura Peixoto,37,(11) 61498571,São Paulo,2024-12-02,Peruca,39.9,7,279.3
533,Hadassa Gomes,40,(17) 37097387,São Paulo,2024-12-03,Máscara,49.9,9,449.1
534,Heitor Campos,21,(28) 41455568,Espírito Santo,2024-12-13,conjunto de dados RPG,30.5,9,274.5
535,João Guilherme Porto,48,(24) 48789400,Rio de Janeiro,2024-12-19,Quadrinho,34.9,6,209.4
536,Luiza Caldeira,28,(81) 81994310,Pernambuco,2024-12-24,Boné,39.9,6,239.4
537,Gael da Rocha,22,(71) 41483024,Bahia,2024-12-17,Caneca Personalizada,29.9,8,239.2
538,Sophie Fonseca,45,(21) 47524692,Rio de Janeiro,2024-12-28,Funko Pop,80.5,1,80.5
539,Ravy Ramos,50,(85) 50618335,Ceará,2024-12-30,Luminária personalizada,250.1,7,1750.7
540,Laís Aparecida,33,(48) 63431905,Santa Catarina,2024-12-01,Camisa Temática,44.9,2,89.8
541,Davi Luiz Leão,45,(91) 73647987,Pará,2024-12-17,Máscara,49.9,6,299.4
542,Raquel Alves,34,(89) 52390454,Piauí,2024-12-10,Jogo de Festa,62.4,9,561.6
543,Benício Ferreira,18,(37) 45696365,Minas Gerais,2024-12-20,Fantasia,112.5,10,1125.0
544,Stephany Peixoto,28,(53) 76130212,Distrito Federal,2024-12-14,Luminária personalizada,250.1,4,1000.4
545,Otto Fogaça,20,(87) 30159144,Pernambuco,2024-12-19,Mangá,36.9,5,184.5
546,Vitor Hugo Almeida,32,(18) 31591328,São Paulo,2024-12-24,Action Figure,180.5,10,1805.0
547,Raquel das Neves,35,(97) 36398439,Amazonas,2024-12-05,Jogo de Festa,62.4,9,561.6
548,Luiz Felipe Aragão,22,(81) 78801069,Pernambuco,2024-12-01,Action Figure,180.5,5,902.5
549,Rhavi Nunes,32,(43) 24266726,Paraná,2024-12-02,Jogo de Estratégia,98.7,7,690.9
550,Laís Barros,26,(69) 29179032,Acre,2024-12-04,Acessório para Jogo,89.9,8,719.2
551,Brenda da Mota,49,(61) 93487688,Distrito Federal,2024-12-17,Luminária personalizada,250.1,1,250.1
552,Brayan Campos,44,(74) 50717529,Bahia,2024-12-12,Console clássico,999.9,3,2999.7
553,Theodoro Mendes,25,(64) 50590245,Goiás,2024-12-03,conjunto de dados RPG,30.5,10,305.0
554,Ana Sousa,28,(48) 11515746,Santa Catarina,2024-12-13,Jogo de Festa,62.4,6,374.4
555,José Vieira,19,(82) 25123415,Alagoas,2024-12-31,Boné,39.9,9,359.1
556,Ravi Fonseca,42,(74) 78275629,Bahia,2024-12-18,Console clássico,999.9,8,7999.2
557,Bárbara Nunes,37,(67) 17366525,Mato Grosso do Sul,2024-12-22,chaveiro,10.75,9,96.75
558,Enzo Gabriel Teixeira,46,(19) 22967623,São Paulo,2024-12-29,Teclado,49.9,3,149.7
559,Davi Lucca Vieira,34,(34) 28782248,Minas Gerais,2024-12-04,Estatueta,350.1,7,2450.7
560,Bárbara da Rosa,20,(87) 86735206,Pernambuco,2024-12-23,Jogo de Pratos e Talheres Temático,19.9,9,179.1
561,Dante Cassiano,37,(68) 37654008,Acre,2024-12-12,Acessório para Jogo,89.9,9,809.1
562,Murilo da Cruz,28,(62) 62928572,Goiás,2024-12-12,Fantasia,112.5,5,562.5
563,Manuela Sales,32,(93) 30618381,Pará,2024-12-21,Moletom,98.9,6,593.4
564,Juliana Campos,26,(66) 94423104,Mato Grosso,2024-12-04,Acessórios e adereços,27.8,4,111.2
565,Leonardo da Costa,41,(64) 52460312,Goiás,2024-12-15,Moletom,98.9,5,494.5
566,Lunna Costa,25,(12) 14896346,São Paulo,2024-12-17,Poster,45.5,9,409.5
567,Bianca Mendes,26,(73) 16422091,Bahia,2024-12-12,Graphic Novel,49.9,4,199.6
568,Yuri Ramos,20,(15) 57065690,São Paulo,2024-12-25,Pendrive,34.9,1,34.9
569,Sabrina Andrade,50,(15) 44785334,São Paulo,2024-12-03,Caneca Personalizada,29.9,8,239.2
570,Heloísa Fonseca,21,(34) 31550079,Minas Gerais,2024-12-16,Copo Térmico,39.9,10,399.0
571,João Pedro Fogaça,22,(73) 40871166,Bahia,2024-12-03,Funko Pop,80.5,6,483.0
572,Hellena Cunha,48,(41) 37049940,Paraná,2024-12-14,Funko Pop,80.5,5,402.5
573,Vitor Cunha,40,(69) 28308645,Acre,2024-12-18,Adesivo de Parede,24.9,1,24.9
574,Henry Caldeira,22,(87) 87949805,Pernambuco,2024-12-06,Coleção de Figurinhas,91.9,2,183.8
575,Caroline Martins,38,(38) 85881947,Minas Gerais,2024-12-17,Jogo de Festa,62.4,6,374.4
576,Rebeca da Cruz,18,(45) 59883317,Paraná,2024-12-29,Console Portátil,350.9,9,3158.1
577,Sofia Fogaça,30,(14) 47313162,São Paulo,2024-12-02,Mouse,39.9,1,39.9
578,Isabelly Sá,47,(34) 93353933,Minas Gerais,2024-12-19,Fantasia,112.5,7,787.5
579,Larissa Rocha,21,(15) 86612389,São Paulo,2024-12-16,Peruca,39.9,10,399.0
580,Gael Henrique Monteiro,37,(83) 19654859,Paraíba,2024-12-16,Acessório para Jogo,89.9,7,629.3
581,Evelyn Fonseca,19,(32) 97973411,Minas Gerais,2024-12-07,Console Portátil,350.9,5,1754.5
582,Arthur Gabriel Siqueira,33,(98) 72148814,Maranhão,2024-12-15,Jogo para Console,109.9,8,879.2
583,Yasmin Brito,21,(83) 16873192,Paraíba,2024-12-21,Luminária personalizada,250.1,4,1000.4
584,Maitê Moreira,44,(44) 39116706,Paraná,2024-12-11,Jogo de Estratégia,98.7,9,888.3
585,Maria Sophia Brito,48,(63) 33248695,Tocantins,2024-12-21,Console Portátil,350.9,5,1754.5
586,Thiago Peixoto,20,(48) 27463787,Santa Catarina,2024-12-06,pijama,85.9,2,171.8
587,Daniela Barros,35,(96) 45786553,Amapá,2024-12-02,Jogo de Cartas,29.5,1,29.5
588,Mariana Montenegro,30,(65) 90614605,Mato Grosso,2024-12-12,Jogos para PC,99.9,7,699.3
589,Helena Almeida,21,(11) 77103238,São Paulo,2024-12-12,Luminária personalizada,250.1,9,2250.9
590,Maria Helena Ferreira,49,(88) 18665382,Ceará,2024-12-04,Graphic Novel,49.9,3,149.7
591,Renan Alves,49,(88) 52477433,Ceará,2024-12-20,Máscara,49.9,6,299.4
592,Manuela Silva,33,(95) 16808634,Roraima,2024-12-13,Jogo de Festa,62.4,2,124.8
593,Gustavo Henrique Moreira,25,(35) 56403523,Minas Gerais,2024-12-28,Jogo de Cartas,29.5,1,29.5
594,Luísa Almeida,42,(84) 34678079,Rio Grande do Norte,2024-12-29,Moletom,98.9,2,197.8
595,Joana Andrade,48,(27) 27150265,Espírito Santo,2024-12-24,Quadro Decorativo,39.6,3,118.8
596,Pietro Ferreira,23,(75) 76235715,Bahia,2024-12-15,Camisa Temática,44.9,5,224.5
597,José Sousa,43,(81) 47144244,Pernambuco,2024-12-07,Livro,59.9,5,299.5
598,Bryan Aragão,32,(52) 35835169,Goiás,2024-12-04,Console clássico,999.9,7,6999.3
599,Alexia Ribeiro,46,(28) 99416745,Espírito Santo,2024-12-30,Jogo para Console,109.9,4,439.6
600,Gustavo Henrique Dias,35,(71) 61136163,Bahia,2024-12-08,Mangá,36.9,3,110.7
601,Maria Laura Cardoso,41,(34) 34640662,Minas Gerais,2024-12-06,chaveiro,10.75,10,107.5
602,José Miguel Barros,35,(95) 35630089,Roraima,2024-12-24,Pendrive,34.9,10,349.0
603,Vinícius Abreu,34,(19) 64823585,São Paulo,2024-12-19,Jogos para PC,99.9,8,799.2
604,Luiz Fernando Siqueira,42,(66) 88276009,Mato Grosso,2024-12-03,Mangá,36.9,9,332.1
605,Emanuelly da Costa,36,(79) 41465440,Sergipe,2024-12-22,Jogo de Pratos e Talheres Temático,19.9,6,119.4
606,Pedro Lucas Ramos,40,(77) 60814022,Bahia,2024-12-02,Coleção de Figurinhas,91.9,3,275.7
607,Henry Sales,40,(92) 96661758,Amazonas,2024-12-09,Adesivo de Parede,24.9,2,49.8
608,Heloisa da Rosa,19,(21) 99892768,Rio de Janeiro,2024-12-06,Teclado,49.9,5,249.5
609,Aurora Vieira,44,(66) 93168298,Mato Grosso,2024-12-21,Copo Térmico,39.9,10,399.0
610,Cecilia Mendonça,41,(66) 74839180,Mato Grosso,2024-12-16,Copo Térmico,39.9,3,119.7
611,Marina Pacheco,41,(13) 89305309,São Paulo,2024-12-31,Action Figure,180.5,5,902.5
612,Gael Henrique Novais,38,(21) 59928777,Rio de Janeiro,2024-12-02,Livro,59.9,2,119.8
613,Ian Sales,29,(48) 87786457,Santa Catarina,2024-12-24,Quadro Decorativo,39.6,6,237.6
614,Sarah Rodrigues,22,(38) 29694550,Minas Gerais,2024-12-07,Console Portátil,350.9,6,2105.4
615,Thomas Costa,32,(31) 32316648,Minas Gerais,2024-12-01,Coleção de Figurinhas,91.9,10,919.0
616,Ester Garcia,40,(14) 42731679,São Paulo,2024-12-22,Livro,59.9,9,539.1
617,Lívia Costela,34,(12) 53902289,São Paulo,2024-12-11,Luminária personalizada,250.1,10,2501.0
618,Francisco Dias,21,(97) 58490203,Amazonas,2024-12-11,Action Figure,180.5,7,1263.5
619,José Vargas,47,(49) 82072629,Santa Catarina,2024-12-01,Copo Térmico,39.9,6,239.4
620,Rebeca Moura,49,(69) 75981203,Acre,2024-12-18,Jogo para Console,109.9,10,1099.0
621,Clara Melo,19,(92) 78278457,Amazonas,2024-12-18,Acessórios e adereços,27.8,8,222.4
622,Emilly Brito,48,(82) 14303806,Alagoas,2024-12-11,Jogo de Estratégia,98.7,4,394.8
623,Lucca Costela,25,(99) 74278203,Maranhão,2024-12-29,Pendrive,34.9,2,69.8
624,Maria Cecília Nunes,23,(74) 54897389,Bahia,2024-12-14,Mouse,39.9,6,239.4
625,Maria Eduarda Sampaio,31,(95) 79878009,Roraima,2024-12-29,Camisa Temática,44.9,2,89.8
626,Erick Cavalcanti,31,(63) 38949073,Tocantins,2024-12-03,Boné,39.9,9,359.1
627,João Guilherme Brito,38,(63) 64161048,Tocantins,2024-12-24,Action Figure,180.5,7,1263.5
628,Maria Fernanda da Paz,40,(22) 37542374,Rio de Janeiro,2024-12-15,Acessório para Jogo,89.9,6,539.4
629,Luísa Rocha,44,(12) 70480668,São Paulo,2024-12-10,Jogo de Cartas,29.5,2,59.0
630,Léo Fernandes,50,(21) 96006781,Rio de Janeiro,2024-12-10,Pendrive,34.9,10,349.0
631,Luiz Gustavo Farias,19,(35) 22338855,Minas Gerais,2024-12-11,Poster,45.5,1,45.5
632,Maria Fernanda Lima,22,(42) 55501053,Santa Catarina,2024-12-31,Estatueta,350.1,1,350.1
633,Bianca Pinto,42,(93) 99734569,Pará,2024-12-10,conjunto de dados RPG,30.5,4,122.0
634,Sara Costa,48,(82) 88608820,Alagoas,2024-12-29,pijama,85.9,7,601.3
635,Nicolas Porto,47,(63) 57830081,Tocantins,2024-12-10,pijama,85.9,1,85.9
636,Igor Vasconcelos,42,(99) 52131756,Maranhão,2024-12-08,Camisa Temática,44.9,2,89.8
637,Bernardo Sousa,26,(43) 79300106,Paraná,2024-12-15,Livro,59.9,1,59.9
638,Ana Vitória Alves,49,(27) 58751666,Espírito Santo,2024-12-05,Funko Pop,80.5,9,724.5
639,Maria Sophia Aragão,49,(69) 92156330,Acre,2024-12-17,pijama,85.9,2,171.8
640,Yuri Carvalho,33,(43) 96609714,Paraná,2024-12-11,Jogo de Pratos e Talheres Temático,19.9,10,199.0
641,Liam Pacheco,20,(46) 70257141,Paraná,2024-12-30,Acessórios e adereços,27.8,2,55.6
642,Stephany Novais,18,(86) 13365798,Piauí,2024-12-07,Luminária personalizada,250.1,9,2250.9
643,Benjamin Duarte,22,(96) 42599300,Amapá,2024-12-03,Jogo de Estratégia,98.7,9,888.3
644,Diogo Novaes,18,(22) 45562070,Rio de Janeiro,2024-12-02,Quadro Decorativo,39.6,5,198.0
645,Valentina Ramos,41,(38) 49925970,Minas Gerais,2024-12-12,Poster,45.5,9,409.5
646,Luiz Gustavo da Rocha,40,(16) 61978096,São Paulo,2024-12-05,Jogo para Console,109.9,3,329.7
647,Luísa Nogueira,34,(86) 44509481,Piauí,2024-12-07,conjunto de dados RPG,30.5,5,152.5
648,Valentina Brito,24,(53) 73809400,Distrito Federal,2024-12-19,Copo Térmico,39.9,9,359.1
649,Leonardo Souza,39,(33) 96421465,Minas Gerais,2024-12-07,Console Portátil,350.9,6,2105.4
650,Larissa Marques,25,(45) 15690860,Paraná,2024-12-23,Console Portátil,350.9,2,701.8
651,Gabriela Duarte,23,(66) 44664157,Mato Grosso,2024-12-12,Jogo de Pratos e Talheres Temático,19.9,5,99.5
652,Maria Liz Almeida,36,(71) 69354138,Bahia,2024-12-20,Action Figure,180.5,6,1083.0
653,Helena Lima,42,(97) 32986141,Amazonas,2024-12-23,Quadrinho,34.9,9,314.1
654,Asafe Lopes,22,(24) 99285508,Rio de Janeiro,2024-12-08,chaveiro,10.75,5,53.75
655,Sophia Teixeira,41,(17) 95773826,São Paulo,2024-12-20,pijama,85.9,3,257.7
656,Bianca Fernandes,41,(19) 37986408,São Paulo,2024-12-08,Luminária personalizada,250.1,1,250.1
657,Isis Pires,42,(62) 61230208,Goiás,2024-12-01,Adesivo de Parede,24.9,5,124.5
658,Lucas Gabriel Rocha,47,(33) 33658797,Minas Gerais,2024-12-13,conjunto de dados RPG,30.5,3,91.5
659,Marcelo Campos,46,(87) 62633548,Pernambuco,2024-12-09,Mouse,39.9,7,279.3
660,José das Neves,41,(75) 84956950,Bahia,2024-12-25,Action Figure,180.5,10,1805.0
661,Anna Liz Borges,36,(27) 42422839,Espírito Santo,2024-12-03,Caneca Personalizada,29.9,1,29.9
662,Ester Nunes,31,(12) 74222742,São Paulo,2024-12-19,Adesivo de Parede,24.9,7,174.3
663,Augusto Silveira,27,(24) 55679350,Rio de Janeiro,2024-12-11,Camisa Temática,44.9,4,179.6
664,Vitor Gabriel Mendonça,47,(22) 44370947,Rio de Janeiro,2024-12-28,Camisa Temática,44.9,7,314.3
665,Clarice das Neves,39,(86) 47106741,Piauí,2024-12-08,Livro,59.9,1,59.9
666,Mirella Aragão,39,(43) 92375181,Paraná,2024-12-10,Quadrinho,34.9,4,139.6
667,Danilo Borges,18,(88) 72837534,Ceará,2024-12-31,Coleção de Figurinhas,91.9,7,643.3
668,Yan Caldeira,21,(32) 48333305,Minas Gerais,2024-12-21,Estatueta,350.1,5,1750.5
669,Igor Costela,42,(71) 44200952,Bahia,2024-12-02,Quadro Decorativo,39.6,1,39.6
670,Maitê Câmara,22,(86) 38601808,Piauí,2024-12-08,Graphic Novel,49.9,4,199.6
671,Ryan Teixeira,47,(19) 11252097,São Paulo,2024-12-13,Pendrive,34.9,8,279.2
672,Anna Liz Cassiano,47,(12) 61741288,São Paulo,2024-12-19,Quadro Decorativo,39.6,8,316.8
673,Erick Caldeira,44,(27) 32623445,Espírito Santo,2024-12-04,Moletom,98.9,8,791.2
674,Maria Alice Monteiro,48,(21) 54731879,Rio de Janeiro,2024-12-20,Livro,59.9,8,479.2
675,Nina Cirino,30,(22) 24263926,Rio de Janeiro,2024-12-24,Jogo de Festa,62.4,2,124.8
676,Melina Souza,22,(97) 96696956,Amazonas,2024-12-08,Console Portátil,350.9,8,2807.2
677,Augusto Casa Grande,44,(61) 13933838,Distrito Federal,2024-12-21,Copo Térmico,39.9,8,319.2
678,Lara Albuquerque,43,(48) 14464103,Santa Catarina,2024-12-01,Console Portátil,350.9,7,2456.3
679,Oliver Gonçalves,25,(75) 97057530,Bahia,2024-12-12,Copo Térmico,39.9,9,359.1
680,Maria Cecília Rodrigues,46,(16) 38293739,São Paulo,2024-12-26,Acessório para Jogo,89.9,2,179.8
681,Stephany Cavalcante,37,(63) 10609367,Tocantins,2024-12-19,Poster,45.5,6,273.0
682,Carolina Farias,33,(46) 91909108,Paraná,2024-12-24,Coleção de Figurinhas,91.9,2,183.8
683,Aylla Fernandes,44,(52) 60193068,Goiás,2024-12-30,Boné,39.9,8,319.2
684,Catarina Costa,27,(41) 99278577,Paraná,2024-12-06,Poster,45.5,10,455.0
685,Asafe Souza,19,(99) 92824019,Maranhão,2024-12-07,Luminária personalizada,250.1,3,750.3
686,Ravi Porto,21,(37) 20679321,Minas Gerais,2024-12-14,Adesivo de Parede,24.9,7,174.3
687,João Guilherme Ribeiro,32,(21) 80436149,Rio de Janeiro,2024-12-06,Luminária personalizada,250.1,3,750.3
688,João Vitor Vasconcelos,48,(94) 73850461,Pará,2024-12-08,Boné,39.9,3,119.7
689,Luiz Gustavo Camargo,46,(43) 38212409,Paraná,2024-12-26,Funko Pop,80.5,5,402.5
690,Ayla da Cunha,27,(49) 97756380,Santa Catarina,2024-12-16,Peruca,39.9,1,39.9
691,Valentim Rios,47,(64) 63405666,Goiás,2024-12-26,Funko Pop,80.5,9,724.5
692,Carlos Eduardo Silveira,34,(12) 42816355,São Paulo,2024-12-04,Console Portátil,350.9,9,3158.1
693,Fernando Ramos,29,(22) 65714476,Rio de Janeiro,2024-12-30,Copo Térmico,39.9,7,279.3
694,Thiago Pinto,29,(45) 16961012,Paraná,2024-12-28,Jogos para PC,99.9,6,599.4
695,Antonella Siqueira,33,(99) 61489672,Maranhão,2024-12-15,Jogo de Estratégia,98.7,2,197.4
696,Ayla Fernandes,45,(73) 81149324,Bahia,2024-12-27,Fantasia,112.5,4,450.0
697,Alice Albuquerque,44,(92) 57588653,Amazonas,2024-12-01,Acessórios e adereços,27.8,2,55.6
698,Stephany Ribeiro,22,(81) 41500805,Pernambuco,2024-12-10,Funko Pop,80.5,5,402.5
699,Juliana Sá,24,(75) 20353177,Bahia,2024-12-18,Caneca Personalizada,29.9,6,179.4
700,João Miguel Gomes,20,(66) 90248220,Mato Grosso,2024-12-14,Graphic Novel,49.9,3,149.7
701,Natália Mendes,26,(81) 54120127,Pernambuco,2024-12-30,Teclado,49.9,8,399.2
702,Giovanna Siqueira,32,(42) 40569647,Santa Catarina,2024-12-04,Console clássico,999.9,6,5999.4
703,Maria Flor Siqueira,27,(84) 59516867,Rio Grande do Norte,2024-12-25,Quadrinho,34.9,3,104.7
704,Jade Cavalcanti,33,(75) 54137647,Bahia,2024-12-06,chaveiro,10.75,3,32.25
705,João Vitor Guerra,31,(94) 69201609,Pará,2024-12-31,Fantasia,112.5,8,900.0
706,Theo Araújo,36,(94) 69951861,Pará,2024-12-05,Jogos para PC,99.9,10,999.0
707,Ana Jesus,40,(98) 55999902,Maranhão,2024-12-30,Graphic Novel,49.9,4,199.6
708,Maitê Moura,41,(28) 89374962,Espírito Santo,2024-12-28,Acessório para Jogo,89.9,8,719.2
709,Rafael Nunes,43,(47) 67061795,Santa Catarina,2024-12-04,Funko Pop,80.5,7,563.5
710,Francisco Correia,44,(94) 63941544,Pará,2024-12-31,Boné,39.9,4,159.6
711,Cauê Cavalcanti,47,(52) 66618437,Goiás,2024-12-24,Jogo de Pratos e Talheres Temático,19.9,1,19.9
712,Liam Dias,38,(49) 88476476,Santa Catarina,2024-12-18,Fantasia,112.5,7,787.5
713,Eloá Novais,25,(48) 90453027,Santa Catarina,2024-12-15,Poster,45.5,8,364.0
714,Mateus Pinto,36,(93) 27703024,Pará,2024-12-30,Teclado,49.9,10,499.0
715,Ana Julia Souza,35,(37) 14727734,Minas Gerais,2024-12-16,Action Figure,180.5,5,902.5
716,Maria Isis Borges,20,(18) 78677176,São Paulo,2024-12-05,Teclado,49.9,1,49.9
717,Dom Barros,33,(28) 45774057,Espírito Santo,2024-12-24,chaveiro,10.75,10,107.5
718,Zoe Brito,20,(44) 47634660,Paraná,2024-12-07,Estatueta,350.1,1,350.1
719,Erick da Cruz,22,(99) 70323582,Maranhão,2024-12-22,Livro,59.9,3,179.7
720,Davi Lucas Ferreira,32,(18) 64937591,São Paulo,2024-12-12,Boné,39.9,1,39.9
721,Dante Barbosa,26,(15) 77035471,São Paulo,2024-12-29,Moletom,98.9,7,692.3
722,Samuel Vargas,30,(84) 96736160,Rio Grande do Norte,2024-12-31,Quadro Decorativo,39.6,8,316.8
723,Alana Freitas,36,(75) 24965159,Bahia,2024-12-25,Caneca Personalizada,29.9,3,89.7
724,Dante Alves,18,(32) 86851503,Minas Gerais,2024-12-04,Teclado,49.9,3,149.7
725,Benjamin Pastor,45,(96) 37590647,Amapá,2024-12-13,Copo Térmico,39.9,8,319.2
726,Heloisa Freitas,48,(79) 46753726,Sergipe,2024-12-26,Teclado,49.9,8,399.2
727,Maya Nunes,49,(24) 17053065,Rio de Janeiro,2024-12-31,Jogo de Pratos e Talheres Temático,19.9,2,39.8
728,Ana Luiza Barros,31,(11) 41768045,São Paulo,2024-12-14,Pendrive,34.9,9,314.1
729,Léo Peixoto,18,(52) 47909942,Goiás,2024-12-16,Jogo de Cartas,29.5,10,295.0
730,Marina Castro,33,(45) 15636267,Paraná,2024-12-19,Pendrive,34.9,9,314.1
731,Carlos Eduardo Lima,38,(97) 22875414,Amazonas,2024-12-28,Acessórios e adereços,27.8,1,27.8
732,Mathias Moreira,41,(71) 76367367,Bahia,2024-12-02,Coleção de Figurinhas,91.9,10,919.0
733,Bruno Gomes,31,(81) 35343624,Pernambuco,2024-12-06,Action Figure,180.5,5,902.5
734,Olivia Siqueira,34,(89) 15930989,Piauí,2024-12-02,Acessórios e adereços,27.8,10,278.0
735,João Pedro Cavalcante,26,(98) 16040307,Maranhão,2024-12-07,Luminária personalizada,250.1,4,1000.4
736,Marina Silva,50,(13) 84990538,São Paulo,2024-12-25,Caneca Personalizada,29.9,8,239.2
737,Gael Henrique Sousa,49,(83) 35318713,Paraíba,2024-12-31,Livro,59.9,6,359.4
738,André Vasconcelos,28,(99) 44184753,Maranhão,2024-12-29,Copo Térmico,39.9,1,39.9
739,Maria Laura Fogaça,46,(83) 61592112,Paraíba,2024-12-07,Luminária personalizada,250.1,4,1000.4
740,Maya da Costa,20,(19) 71465277,São Paulo,2024-12-25,Acessório para Jogo,89.9,3,269.7
741,Sabrina Freitas,38,(49) 57106553,Santa Catarina,2024-12-16,Máscara,49.9,3,149.7
742,Heloisa Araújo,33,(17) 46726827,São Paulo,2024-12-03,Boné,39.9,8,319.2
743,Clara Costela,25,(53) 25755188,Distrito Federal,2024-12-22,Jogos para PC,99.9,6,599.4
744,Luiz Gustavo Almeida,38,(64) 77450813,Goiás,2024-12-22,Console clássico,999.9,8,7999.2
745,Ísis Dias,20,(67) 49277861,Mato Grosso do Sul,2024-12-01,Livro,59.9,3,179.7
746,Davi Luiz Fogaça,26,(84) 43336915,Rio Grande do Norte,2024-12-13,Adesivo de Parede,24.9,7,174.3
747,Henrique Costela,25,(14) 86363984,São Paulo,2024-12-16,Fantasia,112.5,7,787.5
748,Joana Cavalcanti,30,(99) 49280521,Maranhão,2024-12-02,pijama,85.9,1,85.9
749,Yan Moraes,24,(43) 33996703,Paraná,2024-12-27,chaveiro,10.75,7,75.25
750,Murilo Duarte,19,(65) 95889850,Mato Grosso,2024-12-06,Peruca,39.9,10,399.0
751,Murilo Cavalcanti,28,(52) 99102773,Goiás,2024-12-02,Jogo de Pratos e Talheres Temático,19.9,1,19.9
752,Milena Araújo,35,(98) 73664555,Maranhão,2024-12-11,Livro,59.9,8,479.2
753,José Vargas,33,(42) 16466854,Santa Catarina,2024-12-10,Funko Pop,80.5,9,724.5
754,Luiz Gustavo Porto,22,(14) 90907331,São Paulo,2024-12-14,Graphic Novel,49.9,2,99.8
755,Ana Luiza da Conceição,31,(77) 90563899,Bahia,2024-12-10,Acessórios e adereços,27.8,7,194.6
756,Liz Pastor,22,(69) 37706755,Acre,2024-12-13,Jogo de Estratégia,98.7,7,690.9
757,Henry Cirino,26,(87) 18784772,Pernambuco,2024-12-17,Jogos para PC,99.9,1,99.9
758,Henry da Costa,30,(94) 35999556,Pará,2024-12-07,Jogo de Cartas,29.5,6,177.0
759,Cecilia Lima,20,(19) 20367949,São Paulo,2024-12-01,Coleção de Figurinhas,91.9,1,91.9
760,Vitor Hugo Pereira,19,(69) 35823616,Acre,2024-12-31,Estatueta,350.1,7,2450.7
761,Antony da Mata,44,(17) 18423548,São Paulo,2024-12-01,Quadrinho,34.9,4,139.6
762,Yan Almeida,21,(24) 94489434,Rio de Janeiro,2024-12-18,Graphic Novel,49.9,4,199.6
763,Fernando Peixoto,25,(44) 97347739,Paraná,2024-12-03,Console clássico,999.9,1,999.9
764,Julia Silva,21,(35) 52508210,Minas Gerais,2024-12-10,chaveiro,10.75,3,32.25
765,Luiz Miguel Porto,41,(28) 91296366,Espírito Santo,2024-12-28,Console clássico,999.9,6,5999.4
766,Vinicius Melo,34,(42) 87371487,Santa Catarina,2024-12-05,Mangá,36.9,2,73.8
767,Sara Casa Grande,31,(96) 28575372,Amapá,2024-12-08,Mouse,39.9,10,399.0
768,Dante Pinto,22,(45) 89034681,Paraná,2024-12-10,Poster,45.5,4,182.0
769,Lucas Pimenta,29,(38) 20678601,Minas Gerais,2024-12-04,Quadrinho,34.9,3,104.7
770,Maria Vitória Aparecida,28,(35) 35701443,Minas Gerais,2024-12-12,Boné,39.9,2,79.8
771,Ana Vitória Pimenta,36,(34) 56715698,Minas Gerais,2024-12-26,Caneca Personalizada,29.9,8,239.2
772,Heloisa Martins,19,(33) 62965572,Minas Gerais,2024-12-15,Máscara,49.9,9,449.1
773,Ágatha Lima,50,(77) 42712245,Bahia,2024-12-20,Livro,59.9,6,359.4
774,Emanuelly Pacheco,47,(44) 87013406,Paraná,2024-12-14,Estatueta,350.1,2,700.2
775,Cauã Cavalcante,25,(32) 22341623,Minas Gerais,2024-12-13,Camisa Temática,44.9,8,359.2
776,Juan Aparecida,20,(91) 60481756,Pará,2024-12-25,Acessórios e adereços,27.8,6,166.8
777,Sophia Rodrigues,32,(19) 44943412,São Paulo,2024-12-16,Boné,39.9,2,79.8
778,Marcos Vinicius Pimenta,48,(19) 54293890,São Paulo,2024-12-13,Funko Pop,80.5,9,724.5
779,Anthony Novaes,27,(22) 67810815,Rio de Janeiro,2024-12-01,Boné,39.9,5,199.5
780,Maria Helena Dias,48,(84) 31749446,Rio Grande do Norte,2024-12-30,Pendrive,34.9,4,139.6
781,Maria Isis Nunes,21,(95) 81159163,Roraima,2024-12-16,Jogo de Festa,62.4,10,624.0
782,Milena Borges,31,(62) 19709797,Goiás,2024-12-11,Fantasia,112.5,2,225.0
783,Aurora Sales,38,(87) 62689372,Pernambuco,2024-12-30,Quadrinho,34.9,3,104.7
784,Emanuella Pinto,43,(74) 76234743,Bahia,2024-12-19,Copo Térmico,39.9,6,239.4
785,Noah da Cunha,22,(63) 34120811,Tocantins,2024-12-12,Funko Pop,80.5,5,402.5
786,Gustavo Sousa,33,(49) 69628134,Santa Catarina,2024-12-12,Livro,59.9,6,359.4
787,Isaque Cardoso,31,(95) 69558322,Roraima,2024-12-28,Console Portátil,350.9,7,2456.3
788,Gustavo Peixoto,40,(93) 57897775,Pará,2024-12-15,Livro,59.9,4,239.6
789,Gael Camargo,33,(95) 69568417,Roraima,2024-12-28,Mouse,39.9,4,159.6
790,Renan da Costa,31,(49) 95930809,Santa Catarina,2024-12-13,Console clássico,999.9,5,4999.5
791,Benjamin Machado,33,(86) 62871794,Piauí,2024-12-17,Fantasia,112.5,9,1012.5
792,Alana Andrade,35,(71) 81107974,Bahia,2024-12-27,Boné,39.9,8,319.2
